time,low,high,open,close,volume
12/17/15,446.01,456.33,453.96,455.5,6287.108041
12/18/15,453.28,465.1,455.5,463.17,5045.110025
12/19/15,451.58,465.6,463.14,461.29,6991.384363
12/20/15,430,461.3,461.29,442.22,8376.423353
12/21/15,424.66,444.44,442.36,436.81,6845.941204
12/22/15,432.58,442,436.85,433.92,6659.301969
12/23/15,428.29,445.11,433.94,442.43,7571.530727
12/24/15,442.42,460,442.43,455.74,6860.177531
12/25/15,450.01,458.99,455.74,455.84,3482.660512
12/26/15,410,458.29,455.82,419.41,13505.22265
12/27/15,410.02,429.85,419.41,424.72,5568.97684
12/28/15,418,429.9,424.73,421.94,6929.617995
12/29/15,419.31,433.9,421.94,433.89,6387.097139
12/30/15,422.35,434.99,433.89,427.95,4884.61573
12/31/15,419.04,434,427.9,430.35,6480.693574
1/1/16,427.92,437.15,430.35,435.66,3863.277451
1/2/16,432.41,437.56,435.67,435.4,3276.709621
1/3/16,425.02,435.75,435.4,431.91,3904.325318
1/4/16,431.37,435.79,431.9,433.85,5894.445723
1/5/16,430,435.64,433.84,433.34,5150.049476
1/6/16,428.15,433.46,433.32,430.87,5476.869959
1/7/16,430.64,460.15,430.66,459.07,13906.64073
1/8/16,447.53,464.4,459.07,454.44,8347.05504
1/9/16,447.66,456,454.41,450.38,4247.549651
1/10/16,442.96,451.39,450.39,449.99,3954.3224
1/11/16,445.88,452.65,449.99,449.19,5597.614183
1/12/16,431.83,449.44,449.26,434.01,6596.945453
1/13/16,425,437.5,434.01,432.77,9009.140709
1/14/16,428,435.27,432.7,430.03,5672.820962
1/15/16,357.3,430.29,430.04,357.53,28641.65359
1/16/16,350.92,391,357.59,388.7,17985.10478
1/17/16,372,391,388.7,378.46,8278.401793
1/18/16,370.1,386.1,378.47,384.89,8711.459756
1/19/16,370,385.5,384.79,375.27,8133.08901
1/20/16,369,425.1,375.28,418.54,13874.68166
1/21/16,403.21,424.78,418.89,409.38,8736.439029
1/22/16,373.86,413.99,409.02,382.9,13430.10304
1/23/16,382.55,398.72,382.93,387.5,6308.750022
1/24/16,387.49,406.93,387.5,403.05,3550.831772
1/25/16,386.41,403.04,403.04,391.4,6491.999812
1/26/16,387.78,397,391.4,391.54,6981.0099
1/27/16,390.7,397.18,391.7,394.79,6324.16419
1/28/16,377.12,395,394.6,379.61,9103.715499
1/29/16,363.25,385.05,379.63,378.68,12105.29044
1/30/16,375,382.04,378.68,378.46,4154.296422
1/31/16,365,382.5,378.46,367.95,5506.746813
2/1/16,366.26,379,367.89,371.33,7931.229229
2/2/16,371.17,374.41,371.33,372.93,6856.218158
2/3/16,365.63,373.01,372.93,368.87,7147.956573
2/4/16,368.74,390.63,368.87,387.99,8887.727232
2/5/16,382.99,389.36,387.99,384.5,7443.844332
2/6/16,370.05,384.54,384.44,375.44,6276.614737
2/7/16,373.24,379.81,375.44,377.49,4160.829111
2/8/16,370.5,379.35,377.47,371.14,7094.208578
2/9/16,370.13,374.93,371.02,372.68,8424.552208
2/10/16,371.87,383.34,372.76,378.44,9734.280825
2/11/16,360,379.5,378.49,378.23,10413.04372
2/12/16,377.46,382.05,378.23,382.05,6162.176713
2/13/16,381.99,396,382.05,391,5978.856472
2/14/16,391,406.92,391,406.59,7555.16485
2/15/16,394.03,409.09,406.62,398.95,6568.485383
2/16/16,390,407.5,398.94,407.42,5647.185071
2/17/16,405.69,420.13,407.41,415.2,8707.134003
2/18/16,415.01,423.2,415.18,421.19,6518.637612
2/19/16,416,422,421.18,420.72,5800.217532
2/20/16,420.09,444.03,420.72,437.46,9366.34856
2/21/16,426.01,448.7,438.04,438.56,7111.144586
2/22/16,430.95,439,438.56,437.55,5131.799883
2/23/16,414.16,440.9,437.45,419.97,9159.032245
2/24/16,410,425.6,420.32,423.94,7231.122365
2/25/16,418.6,426.44,423.87,423.54,6049.818115
2/26/16,419.53,430.85,423.51,430.85,6782.037465
2/27/16,430.14,434.97,430.84,433.12,5520.620269
2/28/16,423,436.07,433.09,433.73,5149.93009
2/29/16,431.13,442,433.73,436.44,7578.890069
3/1/16,427.5,437.78,436.41,433.08,7580.221063
3/2/16,418.36,435.36,433.03,420.39,7437.529435
3/3/16,408.63,422.8,420.44,418.8,11833.71087
3/4/16,405.5,422.21,418.76,407.35,8960.953572
3/5/16,381.09,408.83,407.38,396.08,14903.21378
3/6/16,385.01,409.27,396.13,403.24,7675.136563
3/7/16,395,418.74,403.24,412.21,9910.744242
3/8/16,407.4,416.33,412.21,411.18,7501.476496
3/9/16,408.75,414,411.18,412.8,5399.270362
3/10/16,410.71,416.52,412.64,415.98,7908.753867
3/11/16,414.97,421,415.98,419.39,7041.458143
3/12/16,406.52,421.3,419.48,410.58,6897.105099
3/13/16,410.01,416.38,410.56,412.52,4663.328797
3/14/16,411.61,415.84,412.51,415.02,6672.712652
3/15/16,412.48,416.94,415.02,415.41,7355.0796
3/16/16,413,416.39,415.41,416.07,6274.808811
3/17/16,415.7,419.75,416.06,418.41,6108.443285
3/18/16,399.21,418.66,418.42,409.65,8597.586764
3/19/16,404.72,411,409.66,410.2,4840.133579
3/20/16,409.36,415.34,410.09,411.27,4726.107175
3/21/16,406.89,412.13,411.25,412,6020.518108
3/22/16,411,417.79,411.98,416.66,6124.691856
3/23/16,413.95,418.99,416.66,417.53,5506.919453
3/24/16,410,417.72,417.53,412.95,5064.589365
3/25/16,411,416.87,412.86,416.41,4598.661038
3/26/16,414.37,417.77,416.42,416.97,3641.002857
3/27/16,416.35,426.5,416.96,425.3,4658.098031
3/28/16,419.63,425.36,425.29,423,5717.860071
3/29/16,407.75,424.62,422.92,416.39,7361.855275
3/30/16,407.56,416.41,416.4,412.79,5831.493604
3/31/16,412.74,417.6,412.97,416.03,5235.542784
4/1/16,414.12,417.68,416.03,417.68,5353.913184
4/2/16,417.04,420.5,417.68,419.95,3944.076484
4/3/16,418.33,420.8,419.95,420.16,3266.973813
4/4/16,417.58,421,420.08,419.47,5323.835295
4/5/16,418.01,423.43,419.48,422.36,5727.686296
4/6/16,420.61,423,422.4,421.46,5211.961402
4/7/16,419.41,422.74,421.36,421.99,5025.881187
4/8/16,415.71,424.65,421.99,419.48,6434.750026
4/9/16,415.51,419.79,419.48,419.46,3519.989111
4/10/16,419.46,423.99,419.46,423.4,2990.036644
4/11/16,420.15,424,423.29,423.94,5093.218252
4/12/16,423.14,429.77,423.95,427.8,6997.033499
4/13/16,423.59,429.44,427.8,425.58,5885.045145
4/14/16,424.52,428,425.58,426.32,4732.226722
4/15/16,425.72,431.1,426.35,430.93,4184.009391
4/16/16,429.89,434.89,430.82,433.39,4133.985987
4/17/16,429.15,434.93,433.69,431,3299.690413
4/18/16,428.44,434.46,431.08,430.97,5277.321206
4/19/16,429.22,438.2,430.9,437.06,6226.595281
4/20/16,436.17,444.07,437.06,442.96,7150.956695
4/21/16,441.99,453.8,442.87,452.25,7693.431009
4/22/16,445.07,452.95,452.25,448.41,6811.642921
4/23/16,447.03,455.84,448.57,455.69,4618.067159
4/24/16,454.55,465,455.68,464.46,6186.443791
4/25/16,454.65,472.38,464.47,466.17,9493.259847
4/26/16,464.01,472.11,466.17,470.59,7471.107562
4/27/16,434,470.79,470.3,445.31,11629.44258
4/28/16,434.79,451.88,445.3,451.68,7644.692105
4/29/16,448.5,459.44,451.67,458.82,5965.09735
4/30/16,450.13,459.33,458.8,454.02,4710.059505
5/1/16,451.55,457.07,454.02,456.98,2941.08101
5/2/16,440.02,457.63,456.98,446.42,7694.118232
5/3/16,443.61,453.29,446.53,452.21,5892.451384
5/4/16,446.76,453.23,452.21,448.68,4883.540015
5/5/16,447,451.56,448.59,449.98,5335.519912
5/6/16,448.84,463.73,449.99,462.31,6191.747205
5/7/16,459.55,464,462.31,461.91,3463.880206
5/8/16,457.5,465,461.91,462.79,3275.577942
5/9/16,459.41,465.9,462.6,464.16,5882.84157
5/10/16,448.2,465,464.15,452.78,6814.257055
5/11/16,452.5,458.65,452.77,454.37,5746.405494
5/12/16,449.27,456.57,454.56,456.48,6119.044625
5/13/16,453.84,458.03,456.48,457.98,5404.11703
5/14/16,456,459.83,457.97,458.9,3295.159707
5/15/16,458.49,463.62,458.9,461.47,3269.952457
5/16/16,451.48,461.59,461.48,455.66,6019.172367
5/17/16,452.2,457.49,455.64,454.19,6033.908426
5/18/16,453.6,457.88,454.19,455.56,5512.065949
5/19/16,435,456.41,455.56,438.38,8405.793789
5/20/16,435.5,445.85,437.91,445.65,7178.735362
5/21/16,441.88,446.99,445.52,446.28,3945.718212
5/22/16,440.89,446.45,446.27,442.48,3779.519741
5/23/16,440.79,446.3,442.45,445.67,5659.316472
5/24/16,440.5,448.5,445.56,446.99,6536.782474
5/25/16,446.86,452.42,446.98,451.49,6167.866138
5/26/16,449,454.99,451.45,454.97,5843.631974
5/27/16,454.35,476.75,454.97,471.27,9886.986488
5/28/16,470.13,539.49,471.21,523.25,12107.0988
5/29/16,491.01,549.99,523.35,525.22,9957.469243
5/30/16,519,541,525.22,532.55,5960.313322
5/31/16,520.01,544.9,532.56,531.34,8491.942681
6/1/16,524.39,541.5,531.25,534.84,5736.493832
6/2/16,531.86,541.2,534.85,537.87,6329.819666
6/3/16,535.96,578,538.06,571.25,10203.59387
6/4/16,564.29,594.64,571.09,576.31,6931.957378
6/5/16,570.22,585,576.31,575.17,4984.249448
6/6/16,575,588.15,575.17,586.77,6790.995892
6/7/16,475,590.95,586.75,579.71,10079.79684
6/8/16,572.96,583.99,579.72,583.21,5661.749173
6/9/16,574,583.48,583.19,577.46,4979.63044
6/10/16,573.5,581,577.47,580.31,5659.426617
6/11/16,580.31,610,580.31,609.5,5542.195259
6/12/16,605,687.71,609.5,677.86,17998.50458
6/13/16,663.55,720,677.45,706.01,15497.15307
6/14/16,650.02,706.45,706.02,684.95,12443.09556
6/15/16,673,699.3,684.99,698.78,7913.035471
6/16/16,698.76,777.68,698.76,769.76,16806.85874
6/17/16,709.01,778.5,769.71,752.26,14007.08245
6/18/16,734.8,785.15,752,758.99,9593.499522
6/19/16,744.77,771.92,759,768.76,5442.638785
6/20/16,701.01,768.94,768.94,703.12,9837.193847
6/21/16,628.6,718.26,706.47,667.66,26108.67887
6/22/16,568.11,679.99,667.88,604.5,15589.03576
6/23/16,544.13,637.89,606.13,631.1,20473.56359
6/24/16,631.01,700,631.1,669.98,19078.84531
6/25/16,650,699,669.98,673.71,7691.553237
6/26/16,625.01,675.19,673.71,638.56,5678.386015
6/27/16,630,659.98,638.56,657.87,6624.339802
6/28/16,638,663.53,657.86,648.43,5696.746777
6/29/16,630.02,648.43,648.43,639.42,6485.126858
6/30/16,635.14,675,639.41,673.49,7764.246468
7/1/16,667,688.99,673.5,678.19,6839.688542
7/2/16,676.92,705.21,678.09,704.95,4976.840469
7/3/16,651,705.25,705.25,663.55,6495.708463
7/4/16,653.16,683.69,664.09,681.98,4327.410769
7/5/16,662.51,682.37,681.98,669.87,5043.811827
7/6/16,665,680.79,669.75,678.79,5668.238078
7/7/16,611.94,683.44,678.79,641.97,12280.74561
7/8/16,638.04,667.33,641.97,667.33,11053.79974
7/9/16,608,667.3,667.07,657.61,9607.695915
7/10/16,641,657.61,657.6,652.44,3705.894148
7/11/16,648.11,664.27,652.43,650.97,4815.437046
7/12/16,648.6,675.5,651.25,666.56,10666.06971
7/13/16,654.86,671.45,666.25,655.34,21881.75123
7/14/16,640,663.99,655.3,661.65,4649.643695
7/15/16,660.68,669.98,661.4,667.48,4725.743612
7/16/16,662.01,669.99,667.48,666.32,2907.514825
7/17/16,665.95,680.99,666.3,680,3944.424024
7/18/16,670,684.94,680,675.5,4547.721785
7/19/16,666.17,676.87,675.51,673.98,3799.771178
7/20/16,664.6,674.99,673.98,666.92,3603.8628
7/21/16,661.19,668.4,667.15,667.28,3967.871808
7/22/16,647.59,669.94,667.27,654.67,7371.964666
7/23/16,653.92,662.35,654.7,657.5,4379.511406
7/24/16,655.01,666.37,657.68,661,3423.08123
7/25/16,653.77,664.13,660.92,657.79,4101.537738
7/26/16,645,658.99,657.99,654.06,6470.740222
7/27/16,646.56,658.99,654.06,657.35,5175.141374
7/28/16,654.1,659.97,657,657.4,3832.988409
7/29/16,651,659,657.4,657,4246.212695
7/30/16,652.95,658.98,657.18,655.87,2979.957415
7/31/16,621.37,657,655.95,626.97,6299.641383
8/1/16,599,629.34,626.97,605.2,7981.717874
8/2/16,483,613.38,604.87,537.47,14828.84616
8/3/16,519.3,576,538.8,573.36,20292.85972
8/4/16,562.11,599.95,573.35,587.5,9514.328375
8/5/16,570.39,592.87,587.5,583,5478.388796
8/6/16,574.5,591.72,583,591.71,3907.493598
8/7/16,587.2,598.65,591.7,595.14,3288.647372
8/8/16,590,595.99,595.14,591.48,3851.886624
8/9/16,585.38,594.04,591.58,586.45,4817.626247
8/10/16,583.29,601.09,586.75,594.94,9439.680356
8/11/16,585.6,599.99,594.94,587.91,5060.855924
8/12/16,583.62,590.09,587.9,587.74,3870.890688
8/13/16,586,589.5,587.68,586.45,2839.685347
8/14/16,565.19,586.49,586.45,574.99,4154.476982
8/15/16,561.56,574.97,574.97,567.79,4403.161735
8/16/16,566.09,581.99,567.85,579.02,4692.461825
8/17/16,569.67,581.99,579.02,574.45,4509.774374
8/18/16,573,576.99,574.45,574.09,3964.98843
8/19/16,572.68,576.99,574.05,573.67,4038.303001
8/20/16,572.38,583.92,573.68,581.87,3581.224253
8/21/16,579.34,583.99,581.72,581.29,2442.633748
8/22/16,579.22,586.99,581.34,585.2,4493.42137
8/23/16,577.47,586.77,585.19,582.39,5092.274625
8/24/16,575.29,582.68,582.39,578.47,3857.023188
8/25/16,573.12,579,578.68,575.58,4109.112561
8/26/16,574.85,579.86,575.57,579.29,3354.183171
8/27/16,568.95,579.45,579.29,570.84,3059.493089
8/28/16,569.65,575.41,570.83,575.41,2587.454261
8/29/16,571.24,577.73,575.41,573.21,4569.562484
8/30/16,572.53,576.83,573.21,574.95,4175.846464
8/31/16,569.21,575.15,574.95,572.89,4439.623837
9/1/16,568.12,573.31,572.89,573.02,5203.005566
9/2/16,570,577.97,572.94,576.21,4827.434599
9/3/16,574.67,600.99,576.41,600.91,4705.699361
9/4/16,597.52,617.13,600.93,611.92,4592.850982
9/5/16,601.63,611.99,611.94,605.69,3010.750032
9/6/16,605.47,612.99,605.93,612.99,4169.697885
9/7/16,609.21,618.53,612.99,615.21,4680.957717
9/8/16,613.43,631.3,615.22,627.97,5225.036773
9/9/16,618.25,628.69,627.97,622.07,4502.865576
9/10/16,620.59,626.54,622.07,623.74,2819.131508
9/11/16,591.8,630.11,623.58,607.94,4289.624776
9/12/16,603,609.45,607.94,606.74,3986.14728
9/13/16,605.16,609.99,606.86,608.63,3888.070523
9/14/16,608,611.99,608.39,608.43,3744.743174
9/15/16,603.33,609.49,608.47,605.44,3965.68195
9/16/16,603.15,608.1,605.43,607.93,4171.005633
9/17/16,604,608.99,607.95,607.92,2942.649088
9/18/16,607.22,611.93,607.92,611.4,3091.455133
9/19/16,607.4,612.46,611.4,608.6,3096.468538
9/20/16,605.6,609.92,608.6,605.6,4601.032849
9/21/16,592.63,605.6,605.6,597,4885.897041
9/22/16,594.78,598.54,597,596.21,3998.40601
9/23/16,595.14,603.3,595.99,602.96,3759.023691
9/24/16,601.08,605.94,602.96,603.68,2646.497598
9/25/16,599.42,605.99,603.69,601.67,2577.178704
9/26/16,600.02,607.99,601.67,607.08,4292.32724
9/27/16,601.38,607.54,607.04,605.71,4345.518889
9/28/16,603.18,606,605.71,605.04,3710.012072
9/29/16,603.56,606.89,604.96,605.99,4106.822057
9/30/16,605,608.99,605.99,608.99,4626.81937
10/1/16,608.98,617.19,608.99,615.65,3480.015939
10/2/16,608.66,615.9,615.65,612.4,2911.891891
10/3/16,610.7,615.24,612.42,612.99,4436.782815
10/4/16,606.93,613.23,612.99,610.34,5060.863128
10/5/16,609.22,614.24,610.33,613.16,4454.403695
10/6/16,610.3,613.39,613.16,611.88,3920.075316
10/7/16,609.89,618.7,611.78,617.98,5119.9889
10/8/16,617.55,620,618.11,619.5,2793.955354
10/9/16,617,619.59,619.46,617.42,2329.862077
10/10/16,615.46,619.2,617.43,618.72,3896.595826
10/11/16,618.13,647.03,618.72,642.12,6316.234813
10/12/16,631.91,643.58,642.3,635.79,4334.375426
10/13/16,632,639.85,635.9,635.66,3845.204612
10/14/16,624.08,639.99,635.8,638.03,4365.837025
10/15/16,636,639.99,638.03,638.16,683.7980709
10/16/16,637.87,643.91,638.16,641.92,2544.927687
10/17/16,636.27,643.47,642.1,639.56,3950.231671
10/18/16,632.15,640,639.56,635.11,4126.575978
10/19/16,625.6,636.99,635.12,629.79,4465.148288
10/20/16,626.01,629.99,629.79,628.05,4170.466267
10/21/16,627.5,633.41,628.19,630.83,4162.76985
10/22/16,629.32,658,630.67,652.75,4585.084521
10/23/16,645.33,655.8,653.03,651.04,3075.739567
10/24/16,645.81,652.93,651.05,649.98,3670.461418
10/25/16,648.99,657.5,649.98,654.3,4814.888392
10/26/16,652.51,678,654.3,674,5843.137066
10/27/16,673.54,692.41,674,691.21,6771.853748
10/28/16,683.2,691.19,691.01,689.95,4409.98654
10/29/16,689.39,725.64,689.95,714.28,6583.498969
10/30/16,692.04,714.98,714.28,697.41,3799.522356
10/31/16,681.01,709.68,697.39,696.9,4474.148564
11/1/16,695.74,737.5,697.07,730.7,6909.181966
11/2/16,720,744.6,730.7,744.6,5095.750854
11/3/16,672.06,746.16,744.61,690,10331.34964
11/4/16,683.8,708.33,690,706.32,5229.219946
11/5/16,697.72,707.99,706.05,706.99,2999.21458
11/6/16,705.86,719.83,706.98,717.02,3013.176279
11/7/16,701.35,717.32,717.04,706.42,4168.787363
11/8/16,704.16,716.45,706.41,711.15,4358.979483
11/9/16,710.05,747.26,711.3,720.97,12022.23321
11/10/16,705.84,723.61,721,712.91,4441.883913
11/11/16,712.5,718.99,713,716.9,3363.915775
11/12/16,702.42,716.99,716.56,704.53,3130.220572
11/13/16,685.7,705.94,704.63,704.01,4207.775868
11/14/16,695.07,708.57,704.01,708.32,4818.753349
11/15/16,671.23,716.3,708.4,712.29,4793.812484
11/16/16,710,743.8,711.92,739.85,6194.458272
